range,coverage,percentage_model,percentage_gdb,Model,type
>20000,99.94068802,0.183261135,0.038282334,AAE,IFG
2000~20000,98.83537547,0.886070305,0.187254005,AAE,IFG
200~2000,91.53846154,5.228761013,1.193204693,AAE,IFG
20~200,70.81079327,23.73226255,7.001100532,AAE,IFG
2~20,37.41191722,45.32249065,25.30646315,AAE,IFG
≤2,7.768757608,24.64704558,66.27369529,AAE,IFG
>20000,99.96835443,0.034915213,0.014455784,AAE,RS
2000~20000,99.46812611,0.285245907,0.11872596,AAE,RS
200~2000,94.46937724,2.107855403,0.92379276,AAE,RS
20~200,81.19489711,10.98096165,5.599357887,AAE,RS
2~20,63.29017712,20.45908808,13.38371731,AAE,RS
≤2,34.24250688,66.1319227,79.95995029,AAE,RS
>20000,99.94068802,0.153262211,0.038282334,VAE,IFG
2000~20000,99.39342472,0.745209078,0.187254005,VAE,IFG
200~2000,95.04569688,4.540381637,1.193204693,VAE,IFG
20~200,75.76479369,21.23595741,7.001100532,VAE,IFG
2~20,43.72802139,44.30251141,25.30646315,VAE,IFG
≤2,10.93850862,29.0225873,66.27369529,VAE,IFG
>20000,99.96835443,0.041517002,0.014455784,VAE,RS
2000~20000,99.26770986,0.338496958,0.11872596,VAE,RS
200~2000,94.38070895,2.504057403,0.92379276,VAE,RS
20~200,81.44562854,13.09756916,5.599357887,VAE,RS
2~20,61.39533166,23.59916262,13.38371731,VAE,RS
≤2,26.30982587,60.41918372,79.95995029,VAE,RS
>20000,99.76275208,0.283740585,0.038282334,ORGAN,IFG
2000~20000,97.8041975,1.359997976,0.187254005,ORGAN,IFG
200~2000,86.41279513,7.65593502,1.193204693,ORGAN,IFG
20~200,59.54373611,30.95285891,7.001100532,ORGAN,IFG
2~20,22.62909306,42.52026417,25.30646315,ORGAN,IFG
≤2,3.50083972,17.22703464,66.27369529,ORGAN,IFG
>20000,99.84177215,0.092777445,0.014455784,ORGAN,RS
2000~20000,96.23063285,0.734220997,0.11872596,ORGAN,RS
200~2000,87.74990588,5.209240339,0.92379276,ORGAN,RS
20~200,69.7229532,25.08796213,5.599357887,ORGAN,RS
2~20,38.51412988,33.12440029,13.38371731,ORGAN,RS
≤2,6.95775466,35.75136939,79.95995029,ORGAN,RS
>20000,99.70344009,0.158573387,0.038282334,CharRNN,IFG
2000~20000,97.3553318,0.757020481,0.187254005,CharRNN,IFG
200~2000,85.44744859,4.233371727,1.193204693,CharRNN,IFG
20~200,69.36314517,20.16325229,7.001100532,CharRNN,IFG
2~20,42.3453608,44.49403204,25.30646315,CharRNN,IFG
≤2,10.9726185,30.19365574,66.27369529,CharRNN,IFG
>20000,99.65189873,0.042145375,0.014455784,CharRNN,RS
2000~20000,94.6889694,0.32881155,0.11872596,CharRNN,RS
200~2000,86.03350572,2.324500114,0.92379276,CharRNN,RS
20~200,73.26163351,11.99776706,5.599357887,CharRNN,RS
2~20,57.60652971,22.54934147,13.38371731,CharRNN,RS
≤2,26.83535234,62.75742105,79.95995029,CharRNN,RS
>20000,99.82206406,0.149644428,0.038282334,REINVENT,IFG
2000~20000,99.01734805,0.725726571,0.187254005,REINVENT,IFG
200~2000,92.08682407,4.300298933,1.193204693,REINVENT,IFG
20~200,73.69148643,20.191239,7.001100532,REINVENT,IFG
2~20,44.96874402,44.53695586,25.30646315,REINVENT,IFG
≤2,11.60353138,30.09604629,66.27369529,REINVENT,IFG
>20000,99.93670886,0.039587915,0.014455784,REINVENT,RS
2000~20000,98.17312881,0.319310754,0.11872596,REINVENT,RS
200~2000,92.13428045,2.331612843,0.92379276,REINVENT,RS
20~200,79.65978,12.21901418,5.599357887,REINVENT,RS
2~20,62.03104977,22.74283074,13.38371731,REINVENT,RS
≤2,28.46354127,62.34763103,79.95995029,REINVENT,RS
>20000,99.94068802,0.158090084,0.038282334,GraphINVENT,IFG
2000~20000,99.59966032,0.770278689,0.187254005,GraphINVENT,IFG
200~2000,95.0209444,4.682187329,1.193204693,GraphINVENT,IFG
20~200,76.5050056,22.11891377,7.001100532,GraphINVENT,IFG
2~20,43.30490085,45.25589015,25.30646315,GraphINVENT,IFG
≤2,9.87078353,27.01463999,66.27369529,GraphINVENT,IFG
>20000,99.96835443,0.048951054,0.014455784,GraphINVENT,RS
2000~20000,99.86125029,0.401494719,0.11872596,GraphINVENT,RS
200~2000,98.44607581,3.079608609,0.92379276,GraphINVENT,RS
20~200,88.4331737,16.76772732,5.599357887,GraphINVENT,RS
2~20,62.76339237,28.44485491,13.38371731,GraphINVENT,RS
≤2,18.93055351,51.25736338,79.95995029,GraphINVENT,RS
>20000,99.94068802,0.220773691,0.038282334,LatentGAN,IFG
2000~20000,99.83015892,1.078187952,0.187254005,LatentGAN,IFG
200~2000,93.80426504,6.454977235,1.193204693,LatentGAN,IFG
20~200,65.29863218,26.36457139,7.001100532,LatentGAN,IFG
2~20,28.23146749,41.20161158,25.30646315,LatentGAN,IFG
≤2,6.457292539,24.67974713,66.27369529,LatentGAN,IFG
>20000,99.96835443,0.093097302,0.014455784,LatentGAN,RS
2000~20000,99.24073075,0.758835845,0.11872596,LatentGAN,RS
200~2000,89.87596346,5.347068157,0.92379276,LatentGAN,RS
20~200,59.32274726,21.3921922,5.599357887,LatentGAN,RS
2~20,30.27653208,26.09627304,13.38371731,LatentGAN,RS
≤2,8.993531643,46.31250398,79.95995029,LatentGAN,RS
>20000,81.79122183,3.609191792,0.038282334,Training_set,IFG
2000~20000,72.46148247,15.63285176,0.187254005,Training_set,IFG
200~2000,27.11157654,37.26706449,1.193204693,Training_set,IFG
20~200,3.500186594,28.22969012,7.001100532,Training_set,IFG
2~20,0.405344624,11.81689698,25.30646315,Training_set,IFG
≤2,0.045114179,3.444304858,66.27369529,Training_set,IFG
>20000,81.80379747,1.274359493,0.014455784,Training_set,RS
2000~20000,72.84359824,9.317367277,0.11872596,Training_set,RS
200~2000,35.1255226,34.95738167,0.92379276,Training_set,RS
20~200,5.112289763,30.83851376,5.599357887,Training_set,RS
2~20,0.940054515,13.55405798,13.38371731,Training_set,RS
≤2,0.116765221,10.05831982,79.95995029,Training_set,RS
